               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.053023,            0.019694,            0.022088,             0.92503,             0.21667,             0.25782,             0.16023,            0.065498,            0.010589,            0.021855,            0.008845,            0.008845,            0.008845
                  37,            0.065319,              0.0164,            0.026962,             0.92503,             0.21667,             0.25782,             0.16023,            0.065498,            0.010589,            0.021855,            0.008812,            0.008812,            0.008812
                  38,            0.060431,             0.01727,            0.020852,             0.97283,             0.24167,             0.27107,             0.13296,            0.048707,            0.011838,            0.021825,            0.008779,            0.008779,            0.008779
                  39,            0.049893,            0.020499,            0.024574,             0.97368,                 0.2,             0.25911,             0.17266,            0.056906,             0.01088,            0.021782,            0.008746,            0.008746,            0.008746
                  40,            0.058753,            0.017661,            0.022835,             0.97368,                 0.2,             0.25911,             0.17266,            0.056906,             0.01088,            0.021782,            0.008713,            0.008713,            0.008713
                  41,            0.055608,            0.017445,            0.020614,             0.95075,             0.21667,             0.26628,             0.14654,            0.047529,            0.010302,             0.02224,             0.00868,             0.00868,             0.00868
                  42,            0.050211,             0.01906,            0.020425,             0.97505,             0.20833,              0.2629,             0.17409,            0.050795,           0.0099621,            0.022119,            0.008647,            0.008647,            0.008647
                  43,            0.059598,            0.019463,            0.017214,             0.97505,             0.20833,              0.2629,             0.17409,            0.050795,           0.0099621,            0.022119,            0.008614,            0.008614,            0.008614
                  44,             0.05447,            0.015442,             0.01901,             0.96532,             0.20697,             0.25635,             0.15503,            0.050303,           0.0092669,            0.020642,            0.008581,            0.008581,            0.008581
                  45,            0.048607,            0.014814,            0.022372,             0.98947,             0.24167,             0.26693,             0.15266,            0.057012,           0.0084376,              0.0196,            0.008548,            0.008548,            0.008548
                  46,            0.061653,            0.013323,             0.01506,             0.98947,             0.24167,             0.26693,             0.15266,            0.057012,           0.0084376,              0.0196,            0.008515,            0.008515,            0.008515
